DSTC10TOPICAL-000000	Hmm I am not sure of that. He went to college for it?	Nope he just attended drama class in high school because that is where the pretty girls went	Hahaha the guy really knew what he was after even that early	Yes, he did. He was a good sport about it, but I felt bad for him.
DSTC10TOPICAL-000001	Yeah I think I have read that before, that is impressive. I heard she was really good in that movie as well.	It's funny that she did not know she was auditioning for wonder woman. She thought she was trying out for cat woman	That is pretty funny, do you know what year the original wonder women made an appearance?	I'm not sure, but I do know that it was directed by Steven Spielberg.
DSTC10TOPICAL-000002	Actually it was Georgia Tech against Cumberland, they beat them 222-0	Hm. I figured that Tom Brady gave a biblical whooping to the Browns. Oh well. 222-0? Did Cumberland play with their cheerleaders or what?	Hahah good point, I have no idea but what a defeat. Do you ever watch the ESPN?	No, I don't watch the NFL.  I'm more of a college football fan.
DSTC10TOPICAL-000003	I do but i don't get the chance as much anymore. The patriots are on a role.	Do you know how many teams are on the NFL?	Wow that's a good question, how many?	I'm not sure how many there are, but the Patriots have been around since 1962.
DSTC10TOPICAL-000004	That is true. They produced a knock off lego once	Wow, they have tried their hand on everything it seems, smart business people	Very true. And they also own the Seattle Mariners. Good investment seems	They have been around for a long time. They were founded in 1948.
DSTC10TOPICAL-000005	I'm surprised a building of that size has lasted so long	I have no idea, but I am glad it survived. History should not be destroyed. Going back to football, the games apparently last only 11 minutes of active game	I guess the players have other things to attend to. They are pretty busy. Sunday is a work day for them. I hope they are editing the Bible like that Jefferson fellow.	I hope so too. I'm not a big fan of football, but that would be interesting to see.
DSTC10TOPICAL-000006	Yeah it cost a whooping $60 million, that is very expensive	Yeah do you know who Benjarvus Green-Ellis is?	Oh yeah the man is a legend, never fumbled the ball	I don't know who that is, but I do know that he was born in 1985.
DSTC10TOPICAL-000007	That makes sense. The NFL is using tracking chips on the players now.	Yes they are and they are collecting many stats such as velocity and rotation and others	Yeah. Do you know who Benjarvus Green-Ellis is?	I don't know who that is, but I do know that the NFL is one of the major professional sports leagues in the world.
DSTC10TOPICAL-000008	Yes I have, very funny movie. That was a classic right there. Thanks	I have never seen it before, I think Bill Murray said it was comedy gold or something like that.	I agree. Did you know that some of the very first silent movies out there were comedies?	I didn't know that, but it makes sense. Comedy has been around for a long time.
DSTC10TOPICAL-000009	Yeah, wasn't he the guy who didn't ever fumble the ball? Thats a pretty incredible feat.	That sure is, what a career. Did you know bowlers used to make more than football players in the 60s	That is surprising, I never saw bowling as that popular. But engineers make more over a lifetime than football players. So there is some incentive to work hard in school.	I did not know that, but I do know that bowling is one of the most popular recreational activities in the world.
DSTC10TOPICAL-000010	Where did you usually commute from and to? Technology and innovations fly by year after year.	I simply drove to the big city for about an hour and a half. Did you ever use the car radio?	That sounds like my commute. I commute about that long one way for school and back home. Doesn't every car have a radio?	I used to listen to the radio when I was a kid, but I don't listen to it much any more.
